indexname,index_size,idx_scan,idx_tup_read,idx_tup_fetch,indexdef
gin_auditoria_evento_dados_antes,16 kB,0,0,0,CREATE INDEX gin_auditoria_evento_dados_antes ON dicionario.auditoria_evento USING gin (dados_antes)
gin_auditoria_evento_dados_depois,16 kB,0,0,0,CREATE INDEX gin_auditoria_evento_dados_depois ON dicionario.auditoria_evento USING gin (dados_depois)
gin_auditoria_evento_campos_alterados,16 kB,0,0,0,CREATE INDEX gin_auditoria_evento_campos_alterados ON dicionario.auditoria_evento USING gin (campos_alterados)
gin_auditoria_evento_extras,16 kB,0,0,0,CREATE INDEX gin_auditoria_evento_extras ON dicionario.auditoria_evento USING gin (extras)
gin_conteudo__database_processos_suportados,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_processos_suportados ON dicionario.conteudo__database USING gin (processos_suportados)
gin_conteudo__database_regras_negocio_identificadas,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_regras_negocio_identificadas ON dicionario.conteudo__database USING gin (regras_negocio_identificadas)
gin_conteudo__database_fluxos_dados_principais,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_fluxos_dados_principais ON dicionario.conteudo__database USING gin (fluxos_dados_principais)
gin_conteudo__database_tabelas_mais_utilizadas,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_tabelas_mais_utilizadas ON dicionario.conteudo__database USING gin (tabelas_mais_utilizadas)
gin_conteudo__database_consultas_tipicas,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_consultas_tipicas ON dicionario.conteudo__database USING gin (consultas_tipicas)
gin_conteudo__database_padroes_acesso,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_padroes_acesso ON dicionario.conteudo__database USING gin (padroes_acesso)
gin_conteudo__database_dicionario_dados,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_dicionario_dados ON dicionario.conteudo__database USING gin (dicionario_dados)
gin_conteudo__database_apis_disponiveis,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_apis_disponiveis ON dicionario.conteudo__database USING gin (apis_disponiveis)
gin_conteudo__database_formatos_exportacao,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_formatos_exportacao ON dicionario.conteudo__database USING gin (formatos_exportacao)
gin_conteudo__database_compatibilidade_sistemas,16 kB,0,0,0,CREATE INDEX gin_conteudo__database_compatibilidade_sistemas ON dicionario.conteudo__database USING gin (compatibilidade_sistemas)
gin_conteudo__desenho_2d3d_objetos_principais,16 kB,0,0,0,CREATE INDEX gin_conteudo__desenho_2d3d_objetos_principais ON dicionario.conteudo__desenho_2d3d USING gin (objetos_principais)
gin_conteudo__desenho_2d3d_sistemas_representados,16 kB,0,0,0,CREATE INDEX gin_conteudo__desenho_2d3d_sistemas_representados ON dicionario.conteudo__desenho_2d3d USING gin (sistemas_representados)
gin_conteudo__desenho_2d3d_detalhes_tecnicos,16 kB,0,0,0,CREATE INDEX gin_conteudo__desenho_2d3d_detalhes_tecnicos ON dicionario.conteudo__desenho_2d3d USING gin (detalhes_tecnicos)
gin_conteudo__desenho_2d3d_especificacoes_materiais,16 kB,0,0,0,CREATE INDEX gin_conteudo__desenho_2d3d_especificacoes_materiais ON dicionario.conteudo__desenho_2d3d USING gin (especificacoes_materiais)
gin_conteudo__desenho_2d3d_normas_aplicadas,16 kB,0,0,0,CREATE INDEX gin_conteudo__desenho_2d3d_normas_aplicadas ON dicionario.conteudo__desenho_2d3d USING gin (normas_aplicadas)
gin_conteudo__desenho_2d3d_codigos_referencia,16 kB,0,0,0,CREATE INDEX gin_conteudo__desenho_2d3d_codigos_referencia ON dicionario.conteudo__desenho_2d3d USING gin (codigos_referencia)
gin_conteudo__desenho_2d3d_restricoes_construtivas,16 kB,0,0,0,CREATE INDEX gin_conteudo__desenho_2d3d_restricoes_construtivas ON dicionario.conteudo__desenho_2d3d USING gin (restricoes_construtivas)
